itemid,shopid,name,currency,stock,status,ctime,t_ctime,sold,historical_sold,liked_count,brand,cmt_count,item_status,price,price_min,price_max,price_before_discount,show_discount,raw_discount,tier_variations_option,rating_star_avg,rating_star_1,rating_star_2,rating_star_3,rating_star_4,rating_star_5,item_type,is_adult,has_lowest_price_guarantee,is_official_shop,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,is_preferred_plus_seller,is_mart,is_on_flash_sale,is_service_by_shopee,shopee_verified,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,show_free_shipping,insert_date
8675108155,57040335,"[Mã FATREND5 giảm đến 30k đơn 99k] Nhẫn Titan Nam Cá Tính, Nhẫn Nam Thời Trang Nhiều Kiểu Lựa Chọn (Màu Bạc)",VND,13773,1,1625586661,2021-07-06 15:51:01,1784,30795,1741,,6256,normal,1000000000,1000000000,2900000000,1500000000,49,49,"Châu Âu,Đính Đá,Nhiệt Độ,Nhẫn Rồng,Chúa Tể,Vòng Đôi Trơn,Dạ Quang,Dây Xích",4,79,48,164,455,5510,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
3889064545,57040335,"[Mã FATREND5 giảm đến 30k đơn 99k] Khuyên Tai Nam Không Cần Bấm Lỗ, Khuyên Kẹp Vành Tai GD Cực Chất (1 Chiếc)",VND,8971,1,1621148927,2021-05-16 07:08:47,1129,51645,2206,,8620,normal,1100000000,1100000000,1500000000,1800000000,39,39,"Bạc,Đen,Vàng,Cầu Vồng",4,100,34,153,420,7913,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
14097013350,57040335,[Mã FATREND5 giảm đến 30k đơn 99k] Khuyên kẹp vành tai nam không cần bấm lỗ ALL IN ONE nhiều lựa chọn (1 chiếc),VND,20935,1,1679719873,2023-03-25 04:51:13,686,1170,81,,197,normal,800000000,800000000,2900000000,1500000000,49,49,"EXO - Bạc,EXO - Đen,EXO Rồng,EXO Họa tiết,GD3 - Bạc,GD3 - Đen,GD2 12MM - Bạc,GD2 12MM - Đen,Hipster - Bạc,Hipster - Đen,Hipster 2 - Bạc,Hipster 2 - Đen,Hipster Vuông - Bạc,Hipster Vuông - Đen,Thập mỏng - Bạc,Thập mỏng - Đen,Thập dày - Bạc,Thập dày - Đen,Thánh giá - Bạc,Thánh giá - Đen,Ngôi sao - Bạc,Ngôi sao - Đen,Rock Cool - Bạc,Rock Cool - Đen,Tam giác - Bạc,Tam giác - Đen,6 gai - Bạc,6 gai - Đen,Mũi tên - Bạc,Mũi tên - Đen,1 Thập - Bạc,1 Thập - Đen,Lá - Bạc,Lá - Đen,2 thập - Bạc,2 thập - Đen,Gươm - Bạc,Gươm - Đen,Trụ - Bạc,Trụ - Đen,2 Kẹp,NC Bạc 8mm,NC Đen 8mm,Túi",4,1,0,2,11,183,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
5588998260,57040335,"Khuyên Tai Giả, Khuyên Kẹp Vành Tai Nam Nữ Không Cần Bấm Lỗ (1 Chiếc)",VND,15041,1,1621154632,2021-05-16 08:43:52,535,19305,1058,,3573,normal,1100000000,1100000000,1500000000,1500000000,42,42,"EXO - Đen,EXO - Bạc,EXO - Vàng,EXO - Xanh,EXO - Cầu Vồng,EXO - Họa Tiết Vuông,EXO - Hình Rồng,EXO - Bạc nhám,EXO - Đen nhám,GD3 - Trắng,GD3 - Đen,GD3 - Vàng,GD3 - Cầu vồng",4,27,12,65,184,3285,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
19322937791,57040335,"[Mã FATREND5 giảm đến 30k đơn 99k] Dụng cụ bấm lỗ tai dùng một lần kháng khuẩn, an toàn, nhỏ gọn",VND,1008,1,1657669460,2022-07-12 23:44:20,507,2909,300,,470,normal,1800000000,1800000000,2900000000,3500000000,49,49,"Mẫu 1 (bấm tai),203 (bấm tai),206 (bấm tai),216 (bấm tai),Bấm mũi",4,6,0,7,17,441,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
22933702156,57040335,"[Mã FATREND5 giảm đến 30k đơn 99k] Khuyên tai nam nhiều lựa chọn, bông tai ALL IN ONE chất liệu titan bền đẹp (1 chiếc)",VND,6892,1,1679402541,2023-03-21 12:42:21,335,894,26,,206,normal,600000000,600000000,2900000000,900000000,49,49,"1. GD 12MM Trắng,2. GD 12MM Đen,3. Hipster bạc,4. Hipster đen,5. Bi chốt 4MM Trắng,6. Nụ 6MM Trắng,7. Nụ 6MM Đen,8. Bi ren 3mm Trắng,9. Bi ren 3mm Đen,10. Tạ 8MM Trắng,11. Tạ 8MM Đen,12. EXO Bạc,13. EXO Đen,14. Rock Cool Trắng,15. Rock Cool Đen,16. Tam giác Trắng,17. Tam giác Đen,18. Rubby Trắng,19. Kim cương Trắng,20. Thập mỏng bạc,21. Thập mỏng đen,22. Sao bạc,23. Sao đen,24. Thập dày bạc,25. Thập dày đen,26. Thánh giá bạc,27. Thánh giá đen,28. Thanh gươm bạc,29. Thanh gươm đen,30. 3 thập bạc,31. 3 thập đen,32. Hipster 2 bạc,33. Hipster 2 đen,34. Trụ bạc,35. Trụ đen,36. 1 thập bạc,37. 1 thập đen,38. Mũi tên bạc,39. Mũi tên đen,40. Lá bạc,41. Lá đen,42. 2 thập bạc,43. 2 thập đen,44. Mỏ neo,45. Túi đựng",4,3,0,3,9,191,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
4255061361,57040335,"[Mã FATREND5 giảm đến 30k đơn 99k] Nhẫn Nam Đính Đá Đẹp, Nhẫn Nam Thời Trang Phong Cách (Full size)",VND,2692,1,1601446343,2020-09-30 06:12:23,296,7095,802,No Brand,1820,normal,2900000000,2900000000,3200000000,4500000000,47,47,"5 hàng (Bạc),5 hàng (Vàng),2 hàng (bạc),2 hàng (đen),điểm đá (vàng),Tay trong tay (Bạc),Lưới (Bạc)",4,19,18,28,88,1667,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
7752838956,57040335,"[Mã FATREND5 giảm đến 30k đơn 99k] Khuyên Tai Nam Châm, Bông Tai Nam Không Cần Bấm Lỗ Cực Chất (giá 1 chiếc)",VND,1521,1,1600309998,2020-09-17 02:33:18,292,5906,387,No Brand,1131,normal,1500000000,1500000000,1800000000,3000000000,50,50,"6mm,8mm,10mm",4,6,6,21,55,1043,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
13502550056,57040335,[Mã FATREND5 giảm đến 30k đơn 99k] Dây chuyền nam thời trang titan hiphop cá tính nhiều lựa chọn,VND,2952,1,1630594551,2021-09-02 14:55:51,207,2074,215,,574,normal,1100000000,1100000000,4900000000,1800000000,46,46,"Ngôi sao,Thánh giá,DC nhẫn xích 8,DC nhẫn trơn 8,Quỷ sừng bạc,Mắt đỏ,Sợi mì,Song long thần kiếm,Mặt sói,Âm dương,Thánh giá Hiphop HT,Alien Họa tiết,Hoa cúc,Cây,2 sừng đỏ,Thỏ PHG Đen,Skull,Thánh giá V1 bạc,Gậy như ý bạc,Mặt nạ bạc,Phật quỷ vàng,Thánh giá V2 xanh,Rồng bạc,Mũi tên bạc,Quả tạ bạc,Mỏ neo bạc,Thánh giá trơn bạc,Lá phong bạc,Lá phong V2 bạc,Lưỡi hái tử thần,La bàn,Sao tròn xanh",4,8,7,14,41,504,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
11344601615,57040335,[Mã FATREND5 giảm đến 30k đơn 99k] Dây chuyền nam titan thời trang hiphop dây kim loại cá tính nhiều lựa chọn,VND,4239,1,1630596087,2021-09-02 15:21:27,151,3101,291,,791,normal,1000000000,1000000000,4900000000,1500000000,46,46,"Ngôi sao cổ điển,Dây trơn 60CMx6MM,Mặt quỷ sừng vàng,Thánh giá,Ngôi sao,Bàn tay nắm vòng,Phật quỷ vàng,Đại bàng,Âm dương,Square,Hạt dưa,Mix xích trơn,Mix ngôi sao,Mix vuông đen,Mặt cười,Thỏi PHG Trắng,Thập giá 2 lớp,Thập giá mix xích,Thủy triều,Lá phong V2,Quả tạ V2,Thánh giá jesus bạc,Nhẫn 6 ký tự,Con mắt,Khối lập phương,Rồng vàng,Hình học bạc,Mobius bạc,TG 3 lớp Đen,Thánh giá hợp kim,Hộ mệnh đen,Vòng trơn hạt,Túi đựng",4,9,6,23,33,720,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
